lane_id,network_id,network_revision,company_cd,subs_cd,from_site_cd,to_site_cd,from_country,to_country,transport_mode,route_priority,from_latitude,from_longitude,to_latitude,to_longitude,great_circle_km,route_factor,route_distance_km,speed_km_per_day,origin_handling_days,departure_wait_days,customs_days,destination_handling_days,linehaul_days,p50_lead_time_days,variability_factor,p90_lead_time_days,planning_lead_time_days,source_type,calculation_method,confidence,status,calculation_reference_url,effective_from
V110-V112-ROAD,NET-C110,SYNTH-20260902-V1,DSE,C110,V110,V112,베트남,태국,ROAD,1,10.8231,106.6297,13.7563,100.5018,741.3,1.2,890,600,0.5,0.5,1,0.5,1.48,4,1.4,6,6,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V110-V112-AIR,NET-C110,SYNTH-20260902-V1,DSE,C110,V110,V112,베트남,태국,AIR,2,10.8231,106.6297,13.7563,100.5018,741.3,1.05,778,18000,1,1,2,1,0.04,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V110-V113-SEA,NET-C110,SYNTH-20260902-V1,DSE,C110,V110,V113,베트남,필리핀,SEA,1,10.8231,106.6297,14.5995,120.9842,1612.2,1.35,2176,600,2,4,3,2,3.63,15,1.5,23,23,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developer.searoutes.com/reference/getsearoute,2026-09-02
V110-V113-AIR,NET-C110,SYNTH-20260902-V1,DSE,C110,V110,V113,베트남,필리핀,AIR,2,10.8231,106.6297,14.5995,120.9842,1612.2,1.05,1693,18000,1,1,2,1,0.09,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V110-V114-SEA,NET-C110,SYNTH-20260902-V1,DSE,C110,V110,V114,베트남,싱가포르,SEA,1,10.8231,106.6297,1.3521,103.8198,1097.9,1.35,1482,600,2,4,3,2,2.47,14,1.5,21,21,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developer.searoutes.com/reference/getsearoute,2026-09-02
V110-V114-AIR,NET-C110,SYNTH-20260902-V1,DSE,C110,V110,V114,베트남,싱가포르,AIR,2,10.8231,106.6297,1.3521,103.8198,1097.9,1.05,1153,18000,1,1,2,1,0.06,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V120-V121-ROAD,NET-C120,SYNTH-20260902-V1,DSE,C120,V120,V121,러시아,카자흐스탄,ROAD,1,55.7558,37.6173,43.222,76.8512,3102.8,1.2,3723,600,0.5,0.5,1,0.5,6.21,9,1.4,13,13,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V120-V121-AIR,NET-C120,SYNTH-20260902-V1,DSE,C120,V120,V121,러시아,카자흐스탄,AIR,2,55.7558,37.6173,43.222,76.8512,3102.8,1.05,3258,18000,1,1,2,1,0.18,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V120-V122-ROAD,NET-C120,SYNTH-20260902-V1,DSE,C120,V120,V122,러시아,우즈베키스탄,ROAD,1,55.7558,37.6173,41.2995,69.2401,2791,1.2,3349,600,0.5,0.5,1,0.5,5.58,9,1.4,13,13,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V120-V122-AIR,NET-C120,SYNTH-20260902-V1,DSE,C120,V120,V122,러시아,우즈베키스탄,AIR,2,55.7558,37.6173,41.2995,69.2401,2791,1.05,2931,18000,1,1,2,1,0.16,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V120-V123-ROAD,NET-C120,SYNTH-20260902-V1,DSE,C120,V120,V123,러시아,몽골,ROAD,1,55.7558,37.6173,47.8864,106.9057,4636.4,1.2,5564,600,0.5,0.5,1,0.5,9.27,12,1.4,17,17,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V120-V123-AIR,NET-C120,SYNTH-20260902-V1,DSE,C120,V120,V123,러시아,몽골,AIR,2,55.7558,37.6173,47.8864,106.9057,4636.4,1.05,4868,18000,1,1,2,1,0.27,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V120-V124-ROAD,NET-C120,SYNTH-20260902-V1,DSE,C120,V120,V124,러시아,벨라루스,ROAD,1,55.7558,37.6173,53.9006,27.559,675.8,1.2,811,600,0.5,0.5,1,0.5,1.35,4,1.4,6,6,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V120-V124-AIR,NET-C120,SYNTH-20260902-V1,DSE,C120,V120,V124,러시아,벨라루스,AIR,2,55.7558,37.6173,53.9006,27.559,675.8,1.05,710,18000,1,1,2,1,0.04,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V130-V131-ROAD,NET-C130,SYNTH-20260902-V1,DSE,C130,V130,V131,폴란드,체코,ROAD,1,52.2297,21.0122,50.0755,14.4378,517.1,1.2,620,600,0.5,0.5,1,0.5,1.03,4,1.4,6,6,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V130-V131-AIR,NET-C130,SYNTH-20260902-V1,DSE,C130,V130,V131,폴란드,체코,AIR,2,52.2297,21.0122,50.0755,14.4378,517.1,1.05,543,18000,1,1,2,1,0.03,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V130-V132-ROAD,NET-C130,SYNTH-20260902-V1,DSE,C130,V130,V132,폴란드,헝가리,ROAD,1,52.2297,21.0122,47.4979,19.0402,544.8,1.2,654,600,0.5,0.5,1,0.5,1.09,4,1.4,6,6,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V130-V132-AIR,NET-C130,SYNTH-20260902-V1,DSE,C130,V130,V132,폴란드,헝가리,AIR,2,52.2297,21.0122,47.4979,19.0402,544.8,1.05,572,18000,1,1,2,1,0.03,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V130-V133-ROAD,NET-C130,SYNTH-20260902-V1,DSE,C130,V130,V133,폴란드,루마니아,ROAD,1,52.2297,21.0122,44.4268,26.1025,945.2,1.2,1134,600,0.5,0.5,1,0.5,1.89,5,1.4,7,7,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V130-V133-AIR,NET-C130,SYNTH-20260902-V1,DSE,C130,V130,V133,폴란드,루마니아,AIR,2,52.2297,21.0122,44.4268,26.1025,945.2,1.05,992,18000,1,1,2,1,0.06,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V130-V134-ROAD,NET-C130,SYNTH-20260902-V1,DSE,C130,V130,V134,폴란드,우크라이나,ROAD,1,52.2297,21.0122,50.4501,30.5234,689.1,1.2,827,600,0.5,0.5,1,0.5,1.38,4,1.4,6,6,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V130-V134-AIR,NET-C130,SYNTH-20260902-V1,DSE,C130,V130,V134,폴란드,우크라이나,AIR,2,52.2297,21.0122,50.4501,30.5234,689.1,1.05,724,18000,1,1,2,1,0.04,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V140-V141-MULTIMODAL,NET-C140,SYNTH-20260902-V1,DSE,C140,V140,V141,영국,독일,MULTIMODAL,1,51.5074,-0.1278,50.1109,8.6821,637.8,1.3,829,500,1,2,2,1,1.66,8,1.5,12,12,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V140-V141-AIR,NET-C140,SYNTH-20260902-V1,DSE,C140,V140,V141,영국,독일,AIR,2,51.5074,-0.1278,50.1109,8.6821,637.8,1.05,670,18000,1,1,2,1,0.04,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V140-V142-MULTIMODAL,NET-C140,SYNTH-20260902-V1,DSE,C140,V140,V142,영국,프랑스,MULTIMODAL,1,51.5074,-0.1278,48.8566,2.3522,343.6,1.3,447,500,1,2,2,1,0.89,7,1.5,11,11,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V140-V142-AIR,NET-C140,SYNTH-20260902-V1,DSE,C140,V140,V142,영국,프랑스,AIR,2,51.5074,-0.1278,48.8566,2.3522,343.6,1.05,361,18000,1,1,2,1,0.02,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V140-V143-MULTIMODAL,NET-C140,SYNTH-20260902-V1,DSE,C140,V140,V143,영국,네덜란드,MULTIMODAL,1,51.5074,-0.1278,51.9244,4.4777,320.6,1.3,417,500,1,2,2,1,0.83,7,1.5,11,11,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V140-V143-AIR,NET-C140,SYNTH-20260902-V1,DSE,C140,V140,V143,영국,네덜란드,AIR,2,51.5074,-0.1278,51.9244,4.4777,320.6,1.05,337,18000,1,1,2,1,0.02,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V140-V144-MULTIMODAL,NET-C140,SYNTH-20260902-V1,DSE,C140,V140,V144,영국,스위스,MULTIMODAL,1,51.5074,-0.1278,47.3769,8.5417,776.2,1.3,1009,500,1,2,2,1,2.02,9,1.5,14,14,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V140-V144-AIR,NET-C140,SYNTH-20260902-V1,DSE,C140,V140,V144,영국,스위스,AIR,2,51.5074,-0.1278,47.3769,8.5417,776.2,1.05,815,18000,1,1,2,1,0.05,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V150-V151-ROAD,NET-C150,SYNTH-20260902-V1,DSE,C150,V150,V151,이탈리아,스페인,ROAD,1,45.4642,9.19,40.4168,-3.7038,1188.2,1.2,1426,600,0.5,0.5,1,0.5,2.38,5,1.4,7,7,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V150-V151-AIR,NET-C150,SYNTH-20260902-V1,DSE,C150,V150,V151,이탈리아,스페인,AIR,2,45.4642,9.19,40.4168,-3.7038,1188.2,1.05,1248,18000,1,1,2,1,0.07,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V150-V152-SEA,NET-C150,SYNTH-20260902-V1,DSE,C150,V150,V152,이탈리아,그리스,SEA,1,45.4642,9.19,37.9838,23.7275,1461.8,1.35,1973,600,2,4,3,2,3.29,15,1.5,23,23,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developer.searoutes.com/reference/getsearoute,2026-09-02
V150-V152-AIR,NET-C150,SYNTH-20260902-V1,DSE,C150,V150,V152,이탈리아,그리스,AIR,2,45.4642,9.19,37.9838,23.7275,1461.8,1.05,1535,18000,1,1,2,1,0.09,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V150-V153-ROAD,NET-C150,SYNTH-20260902-V1,DSE,C150,V150,V153,이탈리아,포르투갈,ROAD,1,45.4642,9.19,38.7223,-9.1393,1682.7,1.2,2019,600,0.5,0.5,1,0.5,3.37,6,1.4,9,9,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V150-V153-AIR,NET-C150,SYNTH-20260902-V1,DSE,C150,V150,V153,이탈리아,포르투갈,AIR,2,45.4642,9.19,38.7223,-9.1393,1682.7,1.05,1767,18000,1,1,2,1,0.1,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V150-V154-MULTIMODAL,NET-C150,SYNTH-20260902-V1,DSE,C150,V150,V154,이탈리아,튀르키예,MULTIMODAL,1,45.4642,9.19,41.0082,28.9784,1672.9,1.3,2175,500,1,2,2,1,4.35,11,1.5,17,17,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V150-V154-AIR,NET-C150,SYNTH-20260902-V1,DSE,C150,V150,V154,이탈리아,튀르키예,AIR,2,45.4642,9.19,41.0082,28.9784,1672.9,1.05,1757,18000,1,1,2,1,0.1,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V160-V161-ROAD,NET-C160,SYNTH-20260902-V1,DSE,C160,V160,V161,스웨덴,노르웨이,ROAD,1,59.3293,18.0686,59.9139,10.7522,416.3,1.2,500,600,0.5,0.5,1,0.5,0.83,4,1.4,6,6,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V160-V161-AIR,NET-C160,SYNTH-20260902-V1,DSE,C160,V160,V161,스웨덴,노르웨이,AIR,2,59.3293,18.0686,59.9139,10.7522,416.3,1.05,437,18000,1,1,2,1,0.02,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V160-V162-ROAD,NET-C160,SYNTH-20260902-V1,DSE,C160,V160,V162,스웨덴,덴마크,ROAD,1,59.3293,18.0686,55.6761,12.5683,522.1,1.2,627,600,0.5,0.5,1,0.5,1.04,4,1.4,6,6,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V160-V162-AIR,NET-C160,SYNTH-20260902-V1,DSE,C160,V160,V162,스웨덴,덴마크,AIR,2,59.3293,18.0686,55.6761,12.5683,522.1,1.05,548,18000,1,1,2,1,0.03,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V160-V163-SEA,NET-C160,SYNTH-20260902-V1,DSE,C160,V160,V163,스웨덴,핀란드,SEA,1,59.3293,18.0686,60.1699,24.9384,395.8,1.35,534,600,2,4,3,2,0.89,12,1.5,18,18,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developer.searoutes.com/reference/getsearoute,2026-09-02
V160-V163-AIR,NET-C160,SYNTH-20260902-V1,DSE,C160,V160,V163,스웨덴,핀란드,AIR,2,59.3293,18.0686,60.1699,24.9384,395.8,1.05,416,18000,1,1,2,1,0.02,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V160-V164-SEA,NET-C160,SYNTH-20260902-V1,DSE,C160,V160,V164,스웨덴,아이슬란드,SEA,1,59.3293,18.0686,64.1466,-21.9426,2134.5,1.35,2882,600,2,4,3,2,4.8,16,1.5,24,24,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developer.searoutes.com/reference/getsearoute,2026-09-02
V160-V164-AIR,NET-C160,SYNTH-20260902-V1,DSE,C160,V160,V164,스웨덴,아이슬란드,AIR,2,59.3293,18.0686,64.1466,-21.9426,2134.5,1.05,2241,18000,1,1,2,1,0.12,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V170-V171-ROAD,NET-C170,SYNTH-20260902-V1,DSE,C170,V170,V171,미국,캐나다,ROAD,1,40.7357,-74.1724,43.6532,-79.3832,537.9,1.2,645,600,0.5,0.5,1,0.5,1.08,4,1.4,6,6,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V170-V171-AIR,NET-C170,SYNTH-20260902-V1,DSE,C170,V170,V171,미국,캐나다,AIR,2,40.7357,-74.1724,43.6532,-79.3832,537.9,1.05,565,18000,1,1,2,1,0.03,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V170-V172-SEA,NET-C170,SYNTH-20260902-V1,DSE,C170,V170,V172,미국,푸에르토리코,SEA,1,40.7357,-74.1724,18.4655,-66.1057,2593.3,1.35,3501,600,2,4,3,2,5.83,17,1.5,26,26,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developer.searoutes.com/reference/getsearoute,2026-09-02
V170-V172-AIR,NET-C170,SYNTH-20260902-V1,DSE,C170,V170,V172,미국,푸에르토리코,AIR,2,40.7357,-74.1724,18.4655,-66.1057,2593.3,1.05,2723,18000,1,1,2,1,0.15,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V170-V173-SEA,NET-C170,SYNTH-20260902-V1,DSE,C170,V170,V173,미국,바하마,SEA,1,40.7357,-74.1724,25.0443,-77.3504,1769.5,1.35,2389,600,2,4,3,2,3.98,15,1.5,23,23,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developer.searoutes.com/reference/getsearoute,2026-09-02
V170-V173-AIR,NET-C170,SYNTH-20260902-V1,DSE,C170,V170,V173,미국,바하마,AIR,2,40.7357,-74.1724,25.0443,-77.3504,1769.5,1.05,1858,18000,1,1,2,1,0.1,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V170-V174-AIR,NET-C170,SYNTH-20260902-V1,DSE,C170,V170,V174,미국,그린란드,AIR,1,40.7357,-74.1724,64.1814,-51.6941,2983.1,1.05,3132,18000,1,1,2,1,0.17,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V170-V174-SEA,NET-C170,SYNTH-20260902-V1,DSE,C170,V170,V174,미국,그린란드,SEA,2,40.7357,-74.1724,64.1814,-51.6941,2983.1,1.35,4027,600,2,4,3,2,6.71,18,1.5,27,27,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developer.searoutes.com/reference/getsearoute,2026-09-02
V180-V181-ROAD,NET-C180,SYNTH-20260902-V1,DSE,C180,V180,V181,멕시코,파나마,ROAD,1,19.4326,-99.1332,8.9824,-79.5199,2408.9,1.2,2891,600,0.5,0.5,1,0.5,4.82,8,1.4,12,12,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V180-V181-AIR,NET-C180,SYNTH-20260902-V1,DSE,C180,V180,V181,멕시코,파나마,AIR,2,19.4326,-99.1332,8.9824,-79.5199,2408.9,1.05,2529,18000,1,1,2,1,0.14,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V180-V182-ROAD,NET-C180,SYNTH-20260902-V1,DSE,C180,V180,V182,멕시코,코스타리카,ROAD,1,19.4326,-99.1332,9.9281,-84.0907,1930.5,1.2,2317,600,0.5,0.5,1,0.5,3.86,7,1.4,10,10,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V180-V182-AIR,NET-C180,SYNTH-20260902-V1,DSE,C180,V180,V182,멕시코,코스타리카,AIR,2,19.4326,-99.1332,9.9281,-84.0907,1930.5,1.05,2027,18000,1,1,2,1,0.11,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V180-V183-ROAD,NET-C180,SYNTH-20260902-V1,DSE,C180,V180,V183,멕시코,과테말라,ROAD,1,19.4326,-99.1332,14.6349,-90.5069,1060.6,1.2,1273,600,0.5,0.5,1,0.5,2.12,5,1.4,7,7,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developers.google.com/maps/documentation/routes/compute_route_matrix,2026-09-02
V180-V183-AIR,NET-C180,SYNTH-20260902-V1,DSE,C180,V180,V183,멕시코,과테말라,AIR,2,19.4326,-99.1332,14.6349,-90.5069,1060.6,1.05,1114,18000,1,1,2,1,0.06,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V180-V184-SEA,NET-C180,SYNTH-20260902-V1,DSE,C180,V180,V184,멕시코,도미니카(공),SEA,1,19.4326,-99.1332,18.4861,-69.9312,3069.1,1.35,4143,600,2,4,3,2,6.91,18,1.5,27,27,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developer.searoutes.com/reference/getsearoute,2026-09-02
