network_id,network_revision,company_cd,subs_cd,site_cd,country_name,node_role,echelon_level,parent_site_cd,reference_city,latitude,longitude,source_type,status,effective_from
NET-C150,SYNTH-20260902-V1,DSE,C150,V150,이탈리아,HUB_WITH_LOCAL_DEMAND,1,,밀라노,45.4642,9.19,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C150,SYNTH-20260902-V1,DSE,C150,V151,스페인,SPOKE,2,V150,마드리드,40.4168,-3.7038,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C150,SYNTH-20260902-V1,DSE,C150,V152,그리스,SPOKE,2,V150,아테네,37.9838,23.7275,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C150,SYNTH-20260902-V1,DSE,C150,V153,포르투갈,SPOKE,2,V150,리스본,38.7223,-9.1393,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C150,SYNTH-20260902-V1,DSE,C150,V154,튀르키예,SPOKE,2,V150,이스탄불,41.0082,28.9784,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C160,SYNTH-20260902-V1,DSE,C160,V160,스웨덴,HUB_WITH_LOCAL_DEMAND,1,,스톡홀름,59.3293,18.0686,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C160,SYNTH-20260902-V1,DSE,C160,V161,노르웨이,SPOKE,2,V160,오슬로,59.9139,10.7522,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C160,SYNTH-20260902-V1,DSE,C160,V162,덴마크,SPOKE,2,V160,코펜하겐,55.6761,12.5683,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C160,SYNTH-20260902-V1,DSE,C160,V163,핀란드,SPOKE,2,V160,헬싱키,60.1699,24.9384,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C160,SYNTH-20260902-V1,DSE,C160,V164,아이슬란드,SPOKE,2,V160,레이캬비크,64.1466,-21.9426,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C170,SYNTH-20260902-V1,DSE,C170,V170,미국,HUB_WITH_LOCAL_DEMAND,1,,뉴욕/뉴어크,40.7357,-74.1724,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C170,SYNTH-20260902-V1,DSE,C170,V171,캐나다,SPOKE,2,V170,토론토,43.6532,-79.3832,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C170,SYNTH-20260902-V1,DSE,C170,V172,푸에르토리코,SPOKE,2,V170,산후안,18.4655,-66.1057,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C170,SYNTH-20260902-V1,DSE,C170,V173,바하마,SPOKE,2,V170,나소,25.0443,-77.3504,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C170,SYNTH-20260902-V1,DSE,C170,V174,그린란드,SPOKE,2,V170,누크,64.1814,-51.6941,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C180,SYNTH-20260902-V1,DSE,C180,V180,멕시코,HUB_WITH_LOCAL_DEMAND,1,,멕시코시티,19.4326,-99.1332,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C180,SYNTH-20260902-V1,DSE,C180,V181,파나마,SPOKE,2,V180,파나마시티,8.9824,-79.5199,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C180,SYNTH-20260902-V1,DSE,C180,V182,코스타리카,SPOKE,2,V180,산호세,9.9281,-84.0907,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C180,SYNTH-20260902-V1,DSE,C180,V183,과테말라,SPOKE,2,V180,과테말라시티,14.6349,-90.5069,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C180,SYNTH-20260902-V1,DSE,C180,V184,도미니카(공),SPOKE,2,V180,산토도밍고,18.4861,-69.9312,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C190,SYNTH-20260902-V1,DSE,C190,V190,브라질,HUB_WITH_LOCAL_DEMAND,1,,상파울루/산투스,-23.5505,-46.6333,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C190,SYNTH-20260902-V1,DSE,C190,V191,아르헨티나,SPOKE,2,V190,부에노스아이레스,-34.6037,-58.3816,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C190,SYNTH-20260902-V1,DSE,C190,V192,칠레,SPOKE,2,V190,산티아고,-33.4489,-70.6693,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C190,SYNTH-20260902-V1,DSE,C190,V193,콜롬비아,SPOKE,2,V190,보고타,4.711,-74.0721,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C190,SYNTH-20260902-V1,DSE,C190,V194,페루,SPOKE,2,V190,리마,-12.0464,-77.0428,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
